<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
us_destroyer_mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,米\t彻\t尔,USS ミッチャー,USS Mitscher,USS Mitscher,USS Mitscher,USS Mitscher,USS 미처,USS Mitscher,USS Mitscher,米\t切\t爾 (DL-2),“米\t彻\t尔”\t号\t驱\t逐\t领\t舰,USS Mitscher,,
uk_battleship_marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,莫\t尔\t伯\t勒,HMS マールバラ,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS Marlborough,HMS 말보로,HMS Marlborough,HMS Marlborough,馬\t爾\t博\t羅 (66),“莫\t尔\t伯\t勒”\t号\t战\t列\t舰,HMS Marlborough,,
jp_destroyer_hayanami,IJN Hayanami,Hayanami,Hayanami,Hayanami,Hayanami,IJN Hayanami,Hayanami,IJN Hajanami,IJN Hayanami,早\t波,早波,IJN Hayanami,IJN Hayanami,IJN Hayanami,IJN Hayanami,IJN 하야나미,IJN Hayanami,IJN Hayanami,早\t波,IJN Hayanami,IJN Hayanami,,
germ_battleship_scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,沙\t恩\t霍\t斯\t特,シャルンホルスト,Scharnhorst,Scharnhorst,Scharnhorst,Scharnhorst,샤른호르스트,Scharnhorst,Scharnhorst,沙\t恩\t霍\t斯\t特,“沙\t恩\t霍\t斯\t特”\t号\t战\t列\t巡\t洋\t舰,Scharnhorst,,
germ_rdm242,Krischan der Große,Krischan der Große,Flusi 1,Krischan der Große,Krischan el grande,Krischan der Große,Flusi 1,Flusi 1,Krischan der Große,大\t克\t里\t尚,フルシ 1,Flusi 1,Krischan der Große,Krischan der Große,Krischan der Große,플리시 1,Krischan der Große,Krischan der Große,一\t號\t防\t空\t砲\t艇,“大\t克\t里\t尚”\t号\t防\t空\t炮\t运\t载\t船,Krischan der Große,,
jp_destroyer_harukaze,JDS Harukaze (DD-101),JDS Harukaze (DD-101),Harukaze (DD-101),JDS Harukaze,JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),春\t风,はるかぜ,JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),JDS 하루카제 (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),春\t風 (DD-101),JDS Harukaze (DD-101),JDS Harukaze (DD-101),,
us_destroyer_mitscher_wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,威\t尔\t金\t森,USS ウィルキンソン,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS Wilkinson,USS 윌킨슨,USS Wilkinson,USS Wilkinson,威\t爾\t金\t森 (DL-5),“威\t尔\t金\t森”\t号\t驱\t逐\t领\t舰,USS Wilkinson,,
ussr_cruiser_kerch,Kerch,Kerch,Kerch,Kerch,Kerch,Керчь,Kercz,Kerč,Kerch,▂\t刻\t赤,ケルチ,Kerch,Керч,Kerch,Kerch,케르치,Керчь,Kerch,刻\t赤,“刻\t赤”\t号\t轻\t巡\t洋\t舰,Kerch,,
ussr_mpk_201k,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,MPK Pr. 201K,MPK Pr.201K,МПК Пр.201К,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,МПК Пр.201К,MPK Pr.201K,MPK Pr.201K,MPK Pr.201K,МПК Пр.201К,MPK Pr.201K,MPK Pr.201K,201K 型\t猎\t潜\t艇,MPK Pr.201K,,
it_cruiser_eugenio_di_savoia,RN Eugenio di Savoia,Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,欧\t金\t尼\t奥·迪·萨\t伏\t依,RN エウジェニオ・ディ・サヴォイア,Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,RN Eugenio di Savoia,RN 에우제니오 디 사보이아,RN Eugenio di Savoia,RN Eugenio di Savoia,歐\t金\t尼\t奧·迪·薩\t伏\t依,“欧\t金\t尼\t奥·迪·萨\t伏\t依”\t号\t轻\t巡\t洋\t舰,RN Eugenio di Savoia,,
uk_higgins_78ft_mtb422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,MTB-422,,
uk_destroyer_v_class_valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,英\t灵\t殿,HMS ヴァルハラ,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS Valhalla,HMS 발할라,HMS Valhalla,HMS Valhalla,瓦\t爾\t哈\t拉 (G45),HMS Valhalla,HMS Valhalla,,
it_albatros_class_f543,Albatros,Albatros,Albatros,Albatros F543,Albatros,Albatros,Albatros,Albatros,Albatros,信\t天\t翁,アルバトロス,Albatros,Albatros,Albatros,Albatros,알바트로스,Albatros,Albatros,信\t天\t翁 (F543),Albatros,Albatros,,
us_battleship_arizona_1931,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS Arizona,亚\t利\t桑\t那,USS アリゾナ,USS Arizona,USS Arizona,USS Arizona,USS Arizona,USS 애리조나,USS Arizona,USS Arizona,亞\t利\t桑\t那 (BB-39),USS Arizona,USS Arizona,,
us_pgm_59_class,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,金\t龟,Kim Qui,Kim Qui,Kim Qui,Kim Qui,Kim Qui,킴 쾨이,Kim Qui,Kim Qui,金\t奎 (HQ 605),Kim Qui,Kim Qui,,
jp_battlecruiser_kongo,IJN Kongo,Kongō,Kongo,Kongō,IJN Kongo,IJN Kongo,Kongō,IJN Kongo,IJN Kongo,金\t刚,金剛,IJN Kongo,IJN Kongo,IJN Kongo,IJN Kongo,IJN 콩고,IJN Kongo,IJN Kongo,金\t剛,IJN Kongo,IJN Kongo,,
germ_skr_pr50_karl_marx,Karl Marx,◊Karl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,卡\t尔·马\t克\t思,カール・マルクス,Karl Marx,Karl Marx,Karl Marx,Karl Marx,카를 마르크스,Karl Marx,Karl Marx,卡\t爾·馬\t克\t思,Karl Marx,Karl Marx,,
ussr_mpk_pr12412p,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,MPK Pr. 12412P,MPK Pr.12412P,МПК Пр.12412П,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,МПК Пр.12412П,MPK Pr.12412P,MPK Pr. 12412P,MPK Pr.12412P,МПК Пр.12412П,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,MPK Pr.12412P,,
us_destroyer_somers_davis,USS Davis,USS Davis,USS Davis,USS Davis,USS Davis,USS Davis,USS Davis,USS Davis,USS Davis,戴\t维\t斯,USS デイヴィス,USS Davis,USS Davis,USS Davis,USS Davis,USS 데이비스,USS Davis,USS Davis,戴\t維\t斯\t(DD-395),USS Davis,USS Davis,,
germ_pzkpfw_35t_romania_mare,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,35(t) 坦\t克 (罗\t马\t尼\t亚),Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,Pz.35(t) RM,35(t) 전차 RM,Pz.35(t) RM,Pz.35(t) RM,35(t) 坦\t克\t（羅\t馬\t尼\t亞）,Pz.35(t) RM,Pz.35(t) RM,,
uk_destroyer_battle_cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,加\t的\t斯,HMS カディス,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS Cadiz,HMS 카디스,HMS Cadiz,HMS Cadiz,卡\t迪\t斯\t(D79),HMS Cadiz,HMS Cadiz,,
uk_battlecruiser_hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS Hood,胡\t德,HMS フッド,HMS Hood,HMS Hood,HMS Hood,HMS Hood,HMS 후드,HMS Hood,HMS Hood,胡\t德 (51),HMS Hood,HMS Hood,,
germ_battleship_bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,巴\t伐\t利\t亚,SMS バイエルン,SMS Bayern,SMS Bayern,SMS Bayern,SMS Bayern,SMS 바이에른,SMS Bayern,SMS Bayern,巴\t伐\t利\t亞,SMS Bayern,SMS Bayern,,
uk_hdml_ml1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML 1383,ML1383,ML 1383,ML 1383,,
ussr_battlecruiser_kronshtadt,Kronshtadt,Kronshtadt,Kronshtadt,Kronshtadt,Kronshtadt,Кронштадт,Kronsztad,Kronštadt,Kronshtadt,喀\t琅\t施\t塔\t得,クロンシュタット,Kronshtadt,Кронштадт,Kronshtadt,Kronshtadt,크론슈타트,Кронштадт,Kronshtadt,喀\t琅\t施\t塔\t得,Kronshtadt,Kronshtadt,,
it_destroyer_fletcher_geniere,Geniere,Geniere,Geniere,Geniere (D 555),Geniere,Geniere,Geniere,Geniere,Geniere,工\t兵,ジェニエーレ,Geniere,Geniere,Geniere,Geniere,제니에레,Geniere,Geniere,工\t兵 (D 555),Geniere,Geniere,,
jp_destroyer_ayanami,JDS Ayanami (DD-103),JDS Ayanami (DD-103),Ayanami (DD-103),JDS Ayanami,JDS Ayanami (DD-103),JDS Ayanami (DD-103),JDS Ayanami (DD-103),JDS Ajanami (DD-103),JDS Ayanami (DD-103),绫\t波 (DD-103),あやなみ,JDS Ayanami (DD-103),JDS Ayanami (DD-103),JDS Ayanami (DD-103),JDS Ayanami (DD-103),JDS 아야나미 (DD-103),JDS Ayanami (DD-103),JDS Ayanami (DD-103),綾\t波 (DD-103),JDS Ayanami (DD-103),JDS Ayanami (DD-103),,
us_ashville_class_douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS Douglas,道\t格\t拉\t斯,USS ダグラス,USS Douglas,USS Douglas,USS Douglas,USS Douglas,USS 더글라스,USS Douglas,USS Douglas,道\t格\t拉\t斯 (PGM-100),USS Douglas,USS Douglas,,
us_destroyer_gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS Gearing,基\t林,USS ギアリング,USS Gearing,USS Gearing,USS Gearing,USS Gearing,USS 기어링,USS Gearing,USS Gearing,基\t靈 (DD-710),USS Gearing,USS Gearing,,
jp_t51a,Type T-51a,Type T-51a,Tipo T-51a,Typ T-51a,Tipo T-51a,Type T-51a,Typ T-51a,Typ T-51a,Type T-51a,T-51a 型,甲型魚雷艇 十号型,Type T-51a,Type T-51a,Type T-51a,Type T-51a,T-51a식,Type T-51a,Type T-51a,甲\t型\t魚\t雷\t艇 第\t十\t號\t型,Type T-51a,Type T-51a,,
jp_battlecruiser_haruna,IJN Haruna,Haruna,Haruna,Haruna,IJN Haruna,IJN Haruna,IJN Haruna,IJN Haruna,IJN Haruna,榛\t名,榛名,MIJ Haruna,IJN Haruna,IJN Haruna,IJN Haruna,IJN 하루나,IJN Haruna,IJN Haruna,榛\t名,IJN Haruna,IJN Haruna,,
germ_leopard_2av,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,豹 2AV,レオパルト 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,Leopard 2AV,레오파르트 2AV,Leopard 2AV,Leopard 2AV,豹\t2AV,Leopard 2AV,Leopard 2AV,,
it_44m_zrinyi_1,Zrinyi I,Zrínyi I,Zrinyi I,Zrinyi I,Zrinyi I,Zrinyi I,Zrinyi I,Zrínyi I,Zrinyi I,兹\t里\t尼 I,ズリーニィ\tI\t型,Zrinyi I,Zrinyi I,Zrinyi I,Zrinyi I,즈리니 I,Zrinyi I,Zrinyi I,茲\t利\t尼 I,Zrinyi I,Zrinyi I,,
us_battlecruiser_alaska_class,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS Alaska,阿\t拉\t斯\t加,USS アラスカ,USS Alaska,USS Alaska,USS Alaska,USS Alaska,USS 알래스카,USS Alaska,USS Alaska,阿\t拉\t斯\t加\t(CB-1),USS Alaska,USS Alaska,,
germ_km5,KM-5,KM-5,KM-5,KM 5,KM-5,KM-5,KM-5,KM-5,KM-5,KM 5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,KM-5,,
ussr_cruiser_mikhail_kutuzov,Mikhail Kutuzov,Mikhail Kutuzov,Mikhail Kutuzov,Michail Kutusow,Mikhail Kutuzov,Михаил Кутузов,Michaił Kutuzow,Michail Kutuzov,Mikhail Kutuzov,米\t哈\t伊\t尔·库\t图\t佐\t夫,ミハイル・クトゥーゾフ,Mikhail Kutuzov,Михаїл Кутузов,Mikhail Kutuzov,Michail Kutusow,미하일 쿠투조프,Михаил Кутузов,Mikhail Kutuzov,米\t哈\t伊\t爾·庫\t圖\t佐\t夫,Mikhail Kutuzov,Mikhail Kutuzov,,
germ_cruiser_elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,埃\t尔\t宾,SMS エルビンク,SMS Elbing,SMS Elbing,SMS Elbing,SMS Elbing,SMS 엘빙,SMS Elbing,SMS Elbing,埃\t爾\t賓,SMS Elbing,SMS Elbing,,
jp_destroyer_hatsuharu,IJN Hatsuharu,Hatsuharu,Hatsuharu,Hatsuharu,IJN Hatsuharu,IJN Hatsuharu,Hatsuharu,IJN Hacuharu,IJN Hatsuharu,初\t春,初春,MIJ Hatsuharu,IJN Hatsuharu,IJN Hatsuharu,IJN Hatsuharu,IJN 하츠하루,IJN Hatsuharu,IJN Hatsuharu,初\t春,IJN Hatsuharu,IJN Hatsuharu,,
ussr_destroyer_pr56_blagorodny,Blagorodnyy,Blagorodny,Blagorodnyy,Blagorodnyy,Blagorodnyy,Благородный,Błagorodnyj,Blagorodnyj,Blagorodnyy,优\t雅,Blagorodnyy,Blagorodnyy,Благородний,Blagorodnyy,Blagorodnyy,블라고로드니,Благородный,Blagorodnyy,優\t雅,Blagorodnyy,Blagorodnyy,,
it_destroyer_navigatori_class_verazzano,RN Da Verazzano,Da Verazzano,RN Da Verazzano,RN Giovanni da Verrazzano,RN Da Verazzano,RN Da Verazzano,Da Verazzano,RN Da Verazzano,RN Da Verazzano,达·韦\t拉\t扎\t诺,RN ダ・ヴェラッツァーノ,RN Da Verazzano,RN Da Verazzano,RN Da Verazzano,RN Da Verazzano,RN 베라차노,RN Da Verazzano,RN Da Verazzano,達·韋\t拉\t扎\t諾,RN Da Verazzano,RN Da Verazzano,,
uk_attack_class_arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,箭 (P88),HMAS アロー,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS Arrow,HMAS 애로우,HMAS Arrow,HMAS Arrow,箭 (P88),HMAS Arrow,HMAS Arrow,,
it_battleship_andrea_doria,RN Andrea Doria,Andrea Doria,RN Andrea Doria,RN Andrea Doria,RN Andrea Doria,RN Andrea Doria,Andrea Doria,RN Andrea Doria,RN Andrea Doria,安\t德\t烈\t亚·多\t利\t亚,RN アンドレア・ドーリア,RN Andrea Doria,RN Andrea Doria,RN Andrea Doria,RN Andrea Doria,RN 안드레아 도리아,RN Andrea Doria,RN Andrea Doria,安\t德\t烈\t亞·多\t里\t亞,RN Andrea Doria,RN Andrea Doria,,
us_cyclone_class_cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,旋\t风 (PC-1),USS サイクロン,USS Cyclone,USS Cyclone,USS Cyclone,USS Cyclone,USS 사이클론,USS Cyclone,USS Cyclone,颶\t風 (PC-1),USS Cyclone,USS Cyclone,,
jp_battleship_fuso,IJN Fuso,Fusō,Fuso,Fusō,IJN Fuso,IJN Fuso,Fusō,IJN Fusó,IJN Fuso,扶\t桑,扶桑,MIJ Fuso,IJN Fuso,IJN Fuso,IJN Fuso,IJN 후소,IJN Fuso,IJN Fuso,扶\t桑,IJN Fuso,IJN Fuso,,
uk_battlecruiser_glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,光\t荣,HMS グローリアス,HMS Glorious,HMS Glorious,HMS Glorious,HMS Glorious,HMS 글로리어스,HMS Glorious,HMS Glorious,光\t榮 (56),HMS Glorious,HMS Glorious,,
germ_type152_hugin,Hugin,Hugin,Hugin,Hugin,Hugin,Hugin,Hugin,Hugin,Hugin,福\t金,Hugin,Hugin,Hugin,Hugin,Hugin,후긴,Hugin,Hugin,福\t金 (P6191),Hugin,Hugin,,
us_cruiser_fargo_class,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS Fargo,法\t戈,USS ファーゴ,USS Fargo,USS Fargo,USS Fargo,USS Fargo,USS 파고,USS Fargo,USS Fargo,法\t戈 (CL-106),USS Fargo,USS Fargo,,
us_destroyer_gearing_frank_knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,法\t兰\t克·诺\t克\t斯,USS フランク・ノックス,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS Frank Knox,USS 프랭크 녹스,USS Frank Knox,USS Frank Knox,法\t蘭\t克·諾\t克\t斯 (DD-742),USS Frank Knox,USS Frank Knox,,
it_gabbiano_class_c16,Folaga,Folaga,Folaga,Folaga,Folaga,Folaga,Folaga,Folaga,Folaga,白\t骨\t顶,フォラーガ,Folaga,Folaga,Folaga,Folaga,폴라가,Folaga,Folaga,白\t骨\t頂,Folaga,Folaga,,
ussr_destroyer_7_besposhchadny,Besposhchadny,Besposhchadny,Besposhchadny,Besposhchadny,Besposhchadny,Беспощадный,Bezposzczadnyj,Bespoščadnyj,Besposhchadny,无\t情,Besposhchadny,Besposhchadny,Безпощадний,Besposhchadny,Besposhchadny,베스파샤드니,Беспощадный,Besposhchadny,無\t情,Besposhchadny,Besposhchadny,,
uk_destroyer_daring_class_diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS Diana,戴\t安\t娜,HMS ダイアナ,HMS Diana,HMS Diana,HMS Diana,HMS Diana,HMS 다이애나,HMS Diana,HMS Diana,戴\t安\t娜 (D126),HMS Diana,HMS Diana,,
it_destroyer_vifor_class_aquila,RN Aquila,Aquila,RN Aquila,RN Aquila,RN Aquila,RN Aquila,Aquila,RN Aquila,HMS Diana,天\t鹰\t座,RN アクイラ,RN Aquila,RN Aquila,RN Aquila,RN Aquila,RN 아퀼라,RN Aquila,RN Aquila,天\t鷹\t座,RN Aquila,RN Aquila,,
ussr_mpk_pr1331m,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,MPK Pr. 1331M,MPK Pr.1331M,МПК Пр.1331М,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,МПК Пр.1331М,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,МПК Пр.1331М,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,MPK Pr.1331M,,
us_lcm_zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,打\t火\t机,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) 지포,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,LCM(6) Zippo,,
it_cruiser_garibaldi_class_abruzzi,RN Duca degli Abruzzi,Duca degli Abruzzi,RN Duca degli Abruzzi,RN Luigi di Savoia Duca degli Abruzzi,RN Duca degli Abruzzi,RN Duca degli Abruzzi,Duca degli Abruzzi,RN Duca degli Abruzzi,RN Duca degli Abruzzi,阿\t布\t鲁\t齐\t公\t爵,RN ドゥーカ・デッリ・アブルッツィ,RN Duca degli Abruzzi,RN Duca degli Abruzzi,RN Duca degli Abruzzi,RN Duca degli Abruzzi,RN 두카 델리 아브루치,RN Duca degli Abruzzi,RN Duca degli Abruzzi,阿\t布\t魯\t齊\t公\t爵,RN Duca degli Abruzzi,RN Duca degli Abruzzi,,
us_cruiser_des_moines_class_newport_news,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS Newport News,纽\t波\t特\t纽\t斯,USS ニューポート・ニューズ,USS Newport News,USS Newport News,USS Newport News,USS Newport News,USS 뉴포트 뉴스,USS Newport News,USS Newport News,紐\t波\t特\t紐\t斯\t(CA-148),USS Newport News,USS Newport News,,
germ_destroyer_class1936c_z47,Z47,Z47,Z47,Z 47,Z47,Z47,Z47,Z47,Z47,Z 47,Z47,Z47,Z47,Z47,Z47,Z47,Z47,Z47,Z47,Z47,Z47,,
us_pt812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,PT-812,,
ussr_destroyer_7_ryany,Ryany,Ryany,Ryany,Ryany,Ryany,Рьяный,Rjanyj,Rjanyj,Ryany,威\t严,Ryany,Ryany,Ряний,Ryany,Ryany,리야니,Рьяный,Ryany,威\t嚴,Ryany,Ryany,,
germ_pr_131,V-990,V-990,V-990,Pr. 131,V-990,V-990,V-990,V-990,V-990,蜻\t蜓,V-990,V-990,V-990,V-990,V-990,V-990,V-990,V-990,蜻\t蜓 (V-990),V-990,V-990,,
uk_aircraftcarrier_illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,光\t辉,HMS イラストリアス,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS Illustrious,HMS 일러스트리어스,HMS Illustrious,HMS Illustrious,光\t輝,HMS Illustrious,HMS Illustrious,,
us_aircraftcarrier_lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS Lexington,列\t克\t星\t敦,USS レキシントン,USS Lexington,USS Lexington,USS Lexington,USS Lexington,USS 렉싱턴,USS Lexington,USS Lexington,列\t克\t星\t頓 (CV-2),USS Lexington,USS Lexington,,
us_aircraftcarrier_enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,企\t业,USS エンタープライズ,USS Enterprise,USS Enterprise,USS Enterprise,USS Enterprise,USS 엔터프라이즈,USS Enterprise,USS Enterprise,企\t業 (CV-6),USS Enterprise,USS Enterprise,,
us_aircraftcarrier_saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,萨\t拉\t托\t加,USS サラトガ,USS Saratoga,USS Saratoga,USS Saratoga,USS Saratoga,USS 새러토가,USS Saratoga,USS Saratoga,薩\t拉\t托\t加 (CV-3),USS Saratoga,USS Saratoga,,
ussr_destroyer_regele_ferdinand_class_letuchiy,Letuchiy,Letuchy,Letuchiy,Letuchiy,Letuchiy,Летучий,Lietuczyj,Letučij,Letuchiy,无\t常,リチュチー,Letuchiy,Летючий,Letuchiy,Letuchiy,레투치,Летучий,Letuchiy,無\t常,Letuchiy,Letuchiy,,
uk_minelayer_abdiel_class_abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,亚\t必\t迭,HMS アブディール,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS Abdiel,HMS 압디엘,HMS Abdiel,HMS Abdiel,亞\t必\t迭 (M39),HMS Abdiel,HMS Abdiel,,
jp_cruiser_myoko,IJN Myoko,Myōkō,Myoko,Myōkō,IJN Myoko,IJN Myoko,Myōkō,IJN Mjókó,IJN Myoko,妙\t高,妙高,MIJ Myoko,IJN Myoko,IJN Myoko,IJN Myoko,IJN 묘코,IJN Myoko,IJN Myoko,妙\t高,IJN Myoko,IJN Myoko,,
ussr_pr_183_egypt_bm_21,Pr.183 BM-21,Pr.183 BM-21,Pr.183 BM-21,Pr. 183 BM-21,Pr.183 BM-21,Пр.183 БМ-21,Pr.183 BM-21,Pr.183 BM-21,Pr.183 BM-21,Pr.183/BM-21,Pr.183 BM-21,Pr.183 BM-21,Пр.183 БМ-21,Pr.183 BM-21,Pr.183 BM-21,Pr.183 BM-21,Пр.183 БМ-21,Pr.183 BM-21,Pr.183 BM-21,Pr.183 BM-21,Pr.183 BM-21,,
fr_destroyer_aigle_class_aigle,Aigle,Aigle,Aigle,Aigle,Aigle,Aigle,Aigle,Aigle,Aigle,鹰,エーグル,Aigle,Aigle,Aigle,Aigle,에이글,Aigle,Aigle,鷹,Aigle,Aigle,,
jp_destroyer_nenohi,IJN Nenohi,Nenohi,Nenohi,Nenohi,IJN Nenohi,IJN Nenohi,IJN Nenohi,IJN Nenohi,IJN Nenohi,子\t日,子日,MIJ Nenohi,IJN Nenohi,IJN Nenohi,IJN Nenohi,IJN 네노히,IJN Nenohi,IJN Nenohi,子\t日,IJN Nenohi,IJN Nenohi,,
